Name,Address,Description,City
Clamato,80 Rue de Charonne, 75011 Paris, France,"A vibrant and popular seafood restaurant from the team behind Septime. It operates on a no-reservations policy, so arrive early to queue.",Paris
Le Verre Volé,67 Rue de Lancry, 75010 Paris, France,"A classic and cozy 'cave à manger' (wine shop and restaurant) near Canal Saint-Martin, famous for its natural wines and delicious, market-driven food.",Paris
Du Pain et des Idées,34 Rue Yves Toudic, 75010 Paris, France,"A celebrated artisan bakery that attracts long lines for its exceptional traditional breads and viennoiseries, like the famous 'Pain des Amis'.",Paris
Merci,111 Boulevard Beaumarchais, 75003 Paris, France,"A massive, airy concept store in a former fabric factory, offering a curated mix of fashion, furniture, and homewares, plus several spots to eat and drink.",Paris
Miznon,22 Rue des Ecouffes, 75004 Paris, France,"A lively and casual eatery in the Marais, serving creative, vegetable-focused pita sandwiches bursting with flavor.",Paris
Musée Carnavalet,23 Rue de Sévigné, 75003 Paris, France,"The museum dedicated to the history of Paris, housed in two magnificent historic mansions in the heart of the Marais. Recently reopened after major renovations.",Paris
Pizzeria Beddia,1313 N Lee St, Philadelphia, PA 19125, USA,"A nationally acclaimed pizzeria in Fishtown, known for its perfectly crafted pies. Reservations are highly recommended.",Philadelphia
John's Roast Pork,14 E Snyder Ave, Philadelphia, PA 19148, USA,"A legendary South Philly institution, famous for its award-winning roast pork sandwiches and cheesesteaks. A must-try Philadelphia classic.",Philadelphia
Monk's Cafe,264 S 16th St, Philadelphia, PA 19102, USA,"A beloved Belgian beer emporium with an encyclopedic list of brews, especially sours and Trappist ales, alongside a menu of tasty pub food.",Philadelphia
Retrospect,508 South St, Philadelphia, PA 19147, USA,"A well-organized vintage store on South Street offering a wide array of clothing and accessories from various decades at reasonable prices.",Philadelphia
Yowie,226 South St, Philadelphia, PA 19147, USA,"A curated lifestyle shop and boutique hotel founded by a local designer, offering a unique collection of items from independent artists and designers.",Philadelphia
The Fabric Workshop and Museum,1214 Arch St, Philadelphia, PA 19107, USA,"A contemporary art museum that collaborates with artists to experiment with and create new work. Features ambitious and innovative installations.",Philadelphia
Mütter Museum,19 S 22nd St, Philadelphia, PA 19103, USA,"A fascinating and unique medical museum known for its extensive collection of anatomical specimens, wax models, and antique medical equipment.",Philadelphia
